id,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源编码,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度
1,农业厅第三住宅区,上城区,华家池,近地铁2号线庆菱路站,129,36942元/平米,2025-02-19,已购公房,2019-05-05,普通住宅,满五年,共有,"
                                有抵押 70万元 业主自还
                              ",已上传房本照片,190121732585,"
2室1厅1厨1卫
                                                  ","
低楼层 (共6层)
                                                  ","
34.92㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
砖混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
2,蔚蓝公寓,上城区,景芳,,400,45967元/平米,2023-11-24,商品房,2016-11-28,普通住宅,满五年,非共有,"
                                有抵押 40万元 业主自还
                              ",已上传房本照片,240223QE912327,"
2室1厅1厨1卫
                                                  ","
低楼层 (共15层)
                                                  ","
87.02㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯三户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
3,锦润公寓,上城区,火车东站,近地铁19号线 驿城路站,358,40072元/平米,2025-04-12,商品房,2016-12-08,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,250414CF400122,"
3室1厅1厨1卫
                                                  ","
低楼层 (共16层)
                                                  ","
89.34㎡
                                                  ","
平层
                                                  ","
72.65㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
4,水湘人家西苑,上城区,景芳,,269,36045元/平米,2025-03-13,回迁房,2024-12-19,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,240606IY642920,"
2室1厅1厨1卫
                                                  ","
低楼层 (共25层)
                                                  ","
74.63㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
5,晨光绿苑北苑,上城区,九堡,近1号线(萧山国际机场-湘湖)九堡站,220,18791元/平米,2024-11-08,商品房,2009-08-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,241029NE122799,"
3室2厅1厨2卫
                                                  ","
低楼层 (共6层)
                                                  ","
117.08㎡
                                                  ","
平层
                                                  ","
107.25㎡
                                                  ","
板楼
                                                  ","
南
                                                  ","
框架结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
无
                                                  ","
暂无数据
                                                        
"
6,绿城杨柳郡,上城区,七堡,近1号线(萧山国际机场-湘湖)七堡站,450,53286元/平米,2023-05-18,商品房,2021-06-24,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,230517VV997364,"
2室2厅1厨1卫
                                                  ","
中楼层 (共15层)
                                                  ","
84.45㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                  ","
暂无数据
                                                        
"
7,铂瑞悦府,上城区,城东新城,近地铁6号线(杭富线) 火车东站(东广场)站,125,22962元/平米,2025-02-07,商品房,2023-02-10,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,250207DN535377,"
2室1厅1厨2卫
                                                  ","
低楼层 (共10层)
                                                  ","
54.44㎡
                                                  ","
跃层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
东南
                                                  ","
钢混结构
                                                  ","
精装
                                                  ","
四梯二十九户
                                                  ","
有
                                                  ","
暂无数据
                                                        
","
商水
                                                  ","
商电
                                                  ","
3.1元/m3
                                                  "
8,万科中央公园,上城区,城东新城,近1号线(萧山国际机场-湘湖)彭埠站,420,46834元/平米,2025-04-12,商品房,2021-01-10,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,250412XX073646,"
3室2厅1厨2卫
                                                  ","
低楼层 (共16层)
                                                  ","
89.68㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板塔结合
                                                  ","
南
                                                  ","
框架结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
9,保利罗兰香谷,上城区,丁桥,近3号线(星桥-吴山前村) 华鹤街站,174,19538元/平米,2025-03-09,商品房,2017-02-07,普通住宅,满五年,共有,"
                                有抵押
                              ",已上传房本照片,250313BU086118,"
3室2厅1厨1卫
                                                  ","
中楼层 (共20层)
                                                  ","
89.06㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
框架结构
                                                  ","
其他
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
10,北城铭苑,上城区,丁桥,,145,23038元/平米,2024-05-19,商品房,2017-03-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,240524RY622912,"
3室2厅1厨1卫
                                                  ","
中楼层 (共14层)
                                                  ","
62.94㎡
                                                  ","
平层
                                                  ","
暂无数据
                                                  ","
板楼
                                                  ","
南 北
                                                  ","
钢混结构
                                                  ","
简装
                                                  ","
两梯四户
                                                  ","
有
                                                  ","
暂无数据
                                                        
"
